
Employee ID, Last Name, First Name, Credentials, Password
E-1,Unida,Denise,Agent,123456
E-2,Unida,Mark Angelo,Agent,654321
E-3,Morales,Rayleen,Agent,12123434
E-4,Gonzales,Lindsay,Agent,123123
E-5,Cruz,Audrize,Admin,234567
E-6,Teodoro,Xabina,xrdteodoro,xrdteodoro
E-7,Morales,Rayleen,rcgmorales,password

Buyer ID, Last Name, First Name
B-1,Cruz,Gabriel
B-2,Relacion,Egvert
B-3,Shem,Keane
B-4,Avila,Lance Gabriel
B-5,Cruz,Audrize ShemKeane
B-6,Kamado,Nezuko
B-7,Kibutsuji,Muzan

Property ID, Owner, Lot, Block, SRP, Size, Description, Reservation
P-1,1,1,1670000.0,200.0,Red House,R-0
P-2,2,1,2250000.0,300.0,Blue House
P-3,3,1,2250000.0,300.0,Blue House
P-4,B-1,4,1,2250000.0,300.0,Blue House
P-5,5,1,5670500.0,350.0,Near entrance & has garage
P-6,6,1,1.5899999E7,500.0,Large area & clean finish & modern look
P-7,7,1,1.356785E7,456.5,Big red house
P-8,8,1,1.275E7,425.0,Medium blue house
P-9,9,1,8500000.0,367.9,Small red house
P-10,10,1,9675000.0,324.54,Yellow house
P-11,11,1,1.154050075E7,327.45,Bigger yellow house
P-12,12,1,1.3785321E7,348.54,Artist small house
P-13,13,1,1.234354065E7,478.32,Large area but no looks
P-14,14,1,1.3786439E7,375.32,Cool house
P-15,15,1,5678321.0,245.34,Small house
P-16,16,1,2560000.0,213.45,Hello
P-17,17,1,4563000.0,265.76,Good neighborhood
P-18,18,1,7890456.0,289.65,Larger area
P-19,19,1,9750000.0,323.56,Fun neighborhood
P-20,20,1,6578432.0,231.8,Small but great design
P-21,1,2,2254266.0,527.0,Slightly larger yellow house
P-22,2,2,3891963.0,260.0,A few friends
P-23,3,2,6476637.0,685.0,fun neighborhood
P-24,4,2,5614689.0,268.0,Slightly larger yellow house
P-25,5,2,7274289.0,740.0,A bad friend nearby
P-26,6,2,8010736.0,245.0,smaller purple house
P-27,7,2,9096418.0,154.0,A few friends
P-28,8,2,2436579.0,491.0,A few friends
P-29,9,2,6140338.0,202.0,A bad friend nearby
P-30,10,2,2737369.0,442.0,A bad friend nearby
P-31,11,2,6723167.0,570.0,yellow house
P-32,12,2,5704730.0,256.0,green house
P-33,13,2,6379479.0,753.0,yellow house
P-34,14,2,7417833.0,228.0,A few friends
P-35,15,2,5633142.0,250.0,A good friend nearby
P-36,16,2,4570076.0,226.0,A bad friend nearby
P-37,17,2,2561635.0,408.0,Slightly larger yellow house
P-38,18,2,9212504.0,790.0,A lot of friends
P-39,19,2,6434139.0,632.0,purple house
P-40,20,2,5101043.0,512.0,Slight more fun neighborhood
P-41,1,3,2314849.0,510.0,A bad friend nearby
P-42,2,3,6350241.0,446.0,A lot of friends
P-43,3,3,3418441.0,456.0,blue house
P-44,4,3,3291162.0,762.0,yellow house
P-45,5,3,3596427.0,476.0,A few friends
P-46,6,3,6495589.0,272.0,blue house
P-47,7,3,3561896.0,215.0,blue house
P-48,8,3,4504110.0,732.0,A few friends
P-49,9,3,8623861.0,290.0,Larger blue house
P-50,10,3,2899048.0,199.0,Slightly larger yellow house
P-51,11,3,8354163.0,456.0,Larger blue house
P-52,12,3,6976793.0,561.0,yellow house
P-53,13,3,5372089.0,460.0,Slightly smaller green house
P-54,14,3,5504494.0,402.0,Slight more fun neighborhood
P-55,15,3,5456485.0,361.0,purple house
P-56,16,3,4782497.0,176.0,blue house
P-57,17,3,8266717.0,599.0,A few friends
P-58,18,3,7459765.0,697.0,green house
P-59,19,3,8878944.0,251.0,purple house
P-60,20,3,3009133.0,165.0,yellow house
P-61,1,4,4587477.0,635.0,Slightly larger yellow house
P-62,2,4,2599345.0,596.0,smaller purple house
P-63,3,4,9560463.0,714.0,Slightly larger yellow house
